z,n,a,symbol,training_measurement_fm,training_measurement_unc_fm,nuclr_prediction_fm,nuclr_seed_std_fm,nuclr_model_count,nuclr_prediction_kind,interval_kind,interval68_half_width_fm,interval68_lower_fm,interval68_upper_fm,interval95_half_width_fm,interval95_lower_fm,interval95_upper_fm,external_measurement_fm,external_measurement_unc_fm,external_source_key,external_source_doi,training_status
16,23,39,S,,,3.3080335,0.0021077357,40,unmeasured_target_40_models,extrapolation_model_estimate,0.01285186788,3.295181632,3.320885368,0.02718473832,3.280848762,3.335218238,,,,,
16,24,40,S,,,3.318625,0.002395839,40,unmeasured_target_40_models,extrapolation_model_estimate,0.0106101358,3.308014864,3.329235136,0.02270908403,3.295915916,3.341334084,,,,,
16,25,41,S,,,3.3115017,0.0035649638,40,unmeasured_target_40_models,extrapolation_model_estimate,0.01103200726,3.300469693,3.322533707,0.02408213035,3.28741957,3.33558383,,,,,
16,26,42,S,,,3.3248627,0.002246455,40,unmeasured_target_40_models,extrapolation_model_estimate,0.01689414656,3.307968553,3.341756847,0.03747511526,3.287387585,3.362337815,,,,,
16,27,43,S,,,3.310803,0.00480677,40,unmeasured_target_40_models,extrapolation_model_estimate,0.0334838079,3.277319192,3.344286808,0.07101694116,3.239786059,3.381819941,,,,,
16,28,44,S,,,3.324458,0.002765534,40,unmeasured_target_40_models,extrapolation_model_estimate,0.03452141442,3.289936586,3.358979414,0.0754776877,3.248980312,3.399935688,,,,,
16,29,45,S,,,3.331644,0.0045195706,40,unmeasured_target_40_models,extrapolation_model_estimate,0.03476898948,3.296875011,3.366412989,0.07409098581,3.257553014,3.405734986,,,,,
16,30,46,S,,,3.3569493,0.004927239,40,unmeasured_target_40_models,extrapolation_model_estimate,0.03418968505,3.322759615,3.391138985,0.07236814878,3.284581151,3.429317449,,,,,
16,32,48,S,,,3.371069,0.003748147,40,unmeasured_target_40_models,extrapolation_model_estimate,0.02987597966,3.34119302,3.40094498,0.06382570181,3.307243298,3.434894702,,,,,
17,12,29,Cl,,,3.312753,0.0057420614,40,unmeasured_target_40_models,extrapolation_model_estimate,0.01881873939,3.293934261,3.331571739,0.04064864418,3.272104356,3.353401644,,,,,
17,13,30,Cl,,,3.2736306,0.006338972,40,unmeasured_target_40_models,extrapolation_model_estimate,0.01783843579,3.255792164,3.291469036,0.03789570009,3.2357349,3.3115263,,,,,
17,14,31,Cl,,,3.2678216,0.0048490395,40,unmeasured_target_40_models,extrapolation_model_estimate,0.0186519092,3.249169691,3.286473509,0.040197658,3.227623942,3.308019258,,,,,
17,15,32,Cl,,,3.2807593,0.0043859477,40,unmeasured_target_40_models,extrapolation_model_estimate,0.01243210982,3.26832719,3.29319141,0.02647402247,3.254285278,3.307233322,,,,,
17,16,33,Cl,,,3.3114305,0.0036770208,40,unmeasured_target_40_models,extrapolation_model_estimate,0.0243475775,3.287082922,3.335778078,0.05316741534,3.258263085,3.364597915,,,,,
17,17,34,Cl,,,3.3202903,0.004150075,40,unmeasured_target_40_models,extrapolation_model_estimate,0.02317509738,3.297115203,3.343465397,0.05106291099,3.269227389,3.371353211,,,,,
17,18,35,Cl,3.3654,0.0191,3.3323512,0.0013565458,4,measured_target_oof_4_models,heldout_test_aggregate,0.02227061491,3.310080585,3.354621815,0.04354099853,3.288810201,3.375892199,,,,,
17,19,36,Cl,,,3.3471293,0.003901149,40,unmeasured_target_40_models,extrapolation_model_estimate,0.01939096598,3.327738334,3.366520266,0.04282965928,3.304299641,3.389958959,,,,,
17,20,37,Cl,3.384,0.017,3.363673,0.0011859523,4,measured_target_oof_4_models,heldout_test_aggregate,0.01718961791,3.346483382,3.380862618,0.0354025568,3.328270443,3.399075557,,,,,
17,21,38,Cl,,,3.3640041,0.0026880212,40,unmeasured_target_40_models,extrapolation_model_estimate,0.0153977652,3.348606335,3.379401865,0.03351944014,3.33048466,3.39752354,,,,,
17,22,39,Cl,,,3.376477,0.0024398451,40,unmeasured_target_40_models,extrapolation_model_estimate,0.01718909022,3.35928791,3.39366609,0.03631065623,3.340166344,3.412787656,,,,,
17,23,40,Cl,,,3.367,0.0028740927,40,unmeasured_target_40_models,extrapolation_model_estimate,0.01478770518,3.352212295,3.381787705,0.03292626967,3.33407373,3.39992627,,,,,
17,24,41,Cl,,,3.3799424,0.0025992105,40,unmeasured_target_40_models,extrapolation_model_estimate,0.0159632379,3.363979162,3.395905638,0.03472817131,3.345214229,3.414670571,,,,,
17,25,42,Cl,,,3.3692303,0.0033794243,40,unmeasured_target_40_models,extrapolation_model_estimate,0.01221382816,3.357016472,3.381444128,0.02571776788,3.343512532,3.394948068,,,,,
17,26,43,Cl,,,3.3834386,0.0033793428,40,unmeasured_target_40_models,extrapolation_model_estimate,0.01197393987,3.37146466,3.39541254,0.02536166744,3.358076933,3.408800267,,,,,
17,27,44,Cl,,,3.37291,0.0040007583,40,unmeasured_target_40_models,extrapolation_model_estimate,0.02312070989,3.34978929,3.39603071,0.05030731232,3.322602688,3.423217312,,,,,
17,28,45,Cl,,,3.382159,0.0032983865,40,unmeasured_target_40_models,extrapolation_model_estimate,0.03874618008,3.34341282,3.42090518,0.08211592622,3.300043074,3.464274926,,,,,
